Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test)
Logistic Regression,0.989010989010989,0.9824561403508771,0.006554848660111912,0.9861111111111112
SVM (RBF),0.9824175824175824,0.9824561403508771,-3.855793329476942e-05,0.9861111111111112
Stacking (LR+Tree+SVM),0.989010989010989,0.9824561403508771,0.006554848660111912,0.9861111111111112
LightGBM,1.0,0.9649122807017544,0.03508771929824561,0.9726027397260274
KNN,0.9736263736263736,0.956140350877193,0.017486022749180652,0.9655172413793104
Random Forest,1.0,0.956140350877193,0.04385964912280704,0.9655172413793104
Extra Trees,1.0,0.956140350877193,0.04385964912280704,0.9655172413793104
Gradient Boosting,1.0,0.956140350877193,0.04385964912280704,0.9659863945578231
XGBoost,1.0,0.956140350877193,0.04385964912280704,0.9659863945578231
CatBoost,1.0,0.956140350877193,0.04385964912280704,0.9655172413793104
AdaBoost,1.0,0.9473684210526315,0.052631578947368474,0.958904109589041
Bagging (Trees),1.0,0.9385964912280702,0.06140350877192979,0.9517241379310345
Decision Tree,1.0,0.9122807017543859,0.08771929824561409,0.9285714285714286
