Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test)
Bagging (Trees),1.0,1.0,0.0,1.0
Random Forest,1.0,1.0,0.0,1.0
Extra Trees,1.0,1.0,0.0,1.0
XGBoost,1.0,1.0,0.0,1.0
LightGBM,1.0,1.0,0.0,1.0
CatBoost,0.9975609756097561,0.9902439024390244,0.007317073170731714,0.9905660377358491
Decision Tree,1.0,0.9853658536585366,0.014634146341463428,0.9855072463768116
Stacking (LR+Tree+SVM),1.0,0.9853658536585366,0.014634146341463428,0.9855072463768116
Gradient Boosting,0.9878048780487805,0.9707317073170731,0.017073170731707332,0.9714285714285714
SVM (RBF),0.9560975609756097,0.926829268292683,0.029268292682926744,0.9295774647887324
AdaBoost,0.9353658536585366,0.8975609756097561,0.03780487804878052,0.9041095890410958
KNN,0.9609756097560975,0.8634146341463415,0.09756097560975607,0.8653846153846154
Logistic Regression,0.8463414634146341,0.8097560975609757,0.03658536585365846,0.8311688311688312
