Model,Train Accuracy mean,Train Accuracy std,Test Accuracy mean,Test Accuracy std,Generalization Gap mean,Generalization Gap std,F1 Score (Test) mean,F1 Score (Test) std
Logistic Regression,0.9847983420088683,0.003938139060458599,0.9767986337525227,0.0028833773501115312,0.007999708256345505,0.004398438549139278,0.9817624093154065,0.0022219120667613464
SVM (RBF),0.9900707538075959,0.002718438432471227,0.976103089582363,0.002928353000736593,0.013967664225232856,0.0031959492023106747,0.9811152726581518,0.002291813499350387
CatBoost,1.0,0.0,0.972237230243751,0.0022719970764135,0.02776276975624903,0.0022719970764134368,0.9780580596861382,0.0018010912531022626
AdaBoost,1.0,0.0,0.9711814935569011,0.006522550591035182,0.028818506443098912,0.006522550591035221,0.9771836533301382,0.0051087227952382325
LightGBM,1.0,0.0,0.9690793355069088,0.004210064302595431,0.030920664493091145,0.004210064302595448,0.9755935564557557,0.0032756197968679644
Extra Trees,0.9992970888760363,0.0009115153230903275,0.9690731252911039,0.0032050181627585003,0.03022396358493238,0.0029440430652575224,0.9756504165855402,0.0024341384361040853
XGBoost,0.9999120879120879,0.00019657740461536625,0.9687191429902189,0.0031631815129934916,0.03119294492186906,0.003095095707198759,0.9751553136781237,0.00246939938329178
Stacking (LR+Tree+SVM),0.9885758627337575,0.0012816113779745748,0.9676603011954665,0.0029413010655896694,0.020915561538290973,0.0041510804534449965,0.974366812464638,0.0023265951586715944
KNN,0.9768883747831115,0.0034268510315829935,0.9659059152305541,0.002682213882174799,0.010982459552557366,0.002794514515549272,0.9734750467629494,0.002092546795311637
Gradient Boosting,1.0,0.0,0.9655674584691818,0.0044021188216338495,0.03443254153081823,0.004402118821633846,0.9728167849072197,0.003296384281140328
Random Forest,1.0,0.0,0.9634590902033846,0.0026001362244974383,0.036540909796615464,0.0026001362244974734,0.9710810687843109,0.0020278053697011774
Bagging (Trees),1.0,0.0,0.9585343890700202,0.0023452405357187425,0.04146561092997982,0.0023452405357187456,0.9670991790020219,0.0018547629184106362
Decision Tree,0.9927063813379602,0.0011875918958620369,0.9399161620866325,0.009550756182591493,0.052790219251327763,0.009374558428796441,0.9524672483579764,0.007437513404645319
