Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test),Seed
Logistic Regression,0.9890158087526508,0.9789007918025151,0.010115016950135725,0.9832927359254142,789
Decision Tree,0.9942886061307113,0.9367644775655954,0.057524128565115906,0.9488739529374831,789
KNN,0.9714382109118951,0.9630802670392796,0.008357943872615459,0.9713433293433293,789
SVM (RBF),0.9929699248120301,0.9753920198726906,0.017577904939339417,0.9805725688028023,789
Bagging (Trees),1.0,0.956078248719143,0.04392175128085696,0.9648724615395523,789
Random Forest,1.0,0.9666045645086168,0.03339543549138324,0.9735001250743982,789
Extra Trees,0.9995614035087719,0.9701133364384411,0.029448067070330763,0.9763956756411485,789
AdaBoost,1.0,0.9700978108989288,0.02990218910107123,0.9762970312362409,789
Gradient Boosting,1.0,0.968390001552554,0.03160999844744605,0.97499734783437,789
XGBoost,1.0,0.9718832479428661,0.02811675205713393,0.977521147850498,789
LightGBM,1.0,0.9736065828287532,0.02639341717124677,0.9792318737638934,789
CatBoost,1.0,0.9753764943331781,0.02462350566682192,0.9805332047786777,789
Stacking (LR+Tree+SVM),0.9872585309427414,0.9718987734823784,0.015359757460363,0.9776979116075765,789
