Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 (Fraud=1),Recall (Fraud=1),ROC-AUC,PR-AUC
Logistic Regression,0.9904145662445814,0.9884486784518298,0.0019658877927515306,0.2189410906521231,0.8263888888888888,0.9144197796088499,0.5858734132833634
AdaBoost,0.9986833253507189,0.998104006549665,0.0005793188010538852,0.5958207080352066,0.8250000000000001,0.9797662272208738,0.685627606567091
CatBoost,0.9997191116024832,0.9992626626386413,0.0004564489638418934,0.767905297317062,0.7805555555555556,0.9679699493687964,0.7301749568688716
LightGBM,0.7656296444401233,0.765675535774282,-4.589133415877633e-05,0.04273539944633329,0.7388888888888889,0.7521202210858021,0.0173407322343825
XGBoost,0.9999824441284387,0.9992977762311129,0.0006846678973257969,0.7688978494623656,0.7374999999999999,0.987433240704259,0.7515301750607248
Gradient Boosting,1.0,0.9989466735929282,0.0010533264070717863,0.64576802507837,0.6124999999999999,0.9693928869430252,0.5471317239992796
Random Forest,1.0,0.9991222267612723,0.0008777732387277304,0.6500658761528327,0.5486111111111112,0.9520678448782344,0.7471447613840119
Extra Trees,1.0,0.9991924465492086,0.0008075534507914206,0.6664762856666905,0.5486111111111112,0.963264799908372,0.7619207456786768
Decision Tree,1.0,0.9984551276803675,0.0015448723196325176,0.5110464248395283,0.5041666666666667,0.7517140738107063,0.2793331907779289
Bagging (Trees),1.0,0.9990168896823608,0.000983110317639202,0.6071428571428571,0.4791666666666667,0.9330214074657254,0.7454526645697482
