Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test)
Bagging (Trees),1.0,1.0,0.0,1.0
Random Forest,1.0,1.0,0.0,1.0
Extra Trees,1.0,1.0,0.0,1.0
XGBoost,1.0,1.0,0.0,1.0
LightGBM,1.0,1.0,0.0,1.0
CatBoost,0.9975609756097561,0.9902439024390244,0.007317073170731714,0.9905660377358491
Decision Tree,1.0,0.9853658536585366,0.014634146341463428,0.9855072463768116
Stacking (LR+Tree+SVM),1.0,0.9853658536585366,0.014634146341463428,0.9855072463768116
Gradient Boosting,0.9963414634146341,0.9804878048780488,0.01585365853658538,0.9809523809523809
SVM (RBF),0.9560975609756097,0.926829268292683,0.029268292682926744,0.9295774647887324
AdaBoost,0.9670731707317073,0.9219512195121952,0.045121951219512124,0.9252336448598131
KNN,0.9609756097560975,0.8634146341463415,0.09756097560975607,0.8653846153846154
Logistic Regression,0.8463414634146341,0.8097560975609757,0.03658536585365846,0.8311688311688312
