Model,Train Accuracy mean,Train Accuracy std,Test Accuracy mean,Test Accuracy std,Generalization Gap mean,Generalization Gap std,F1 Score (Test) mean,F1 Score (Test) std
CatBoost,1.0,0.0,0.9970731707317073,0.0035846191357802636,0.0029268292682926855,0.0035846191357802636,0.997128874069603,0.0035053637856451683
LightGBM,1.0,0.0,0.9970731707317073,0.0035846191357802636,0.0029268292682926855,0.0035846191357802636,0.997128874069603,0.0035053637856451683
XGBoost,1.0,0.0,0.9970731707317073,0.0035846191357802636,0.0029268292682926855,0.0035846191357802636,0.997128874069603,0.0035053637856451683
Extra Trees,1.0,0.0,0.9962926829268293,0.0031913028748870435,0.003707317073170735,0.0031913028748870517,0.9963521750404769,0.0031191153188595854
Bagging (Trees),1.0,0.0,0.9959024390243902,0.004897522106540935,0.00409756097560976,0.004897522106540935,0.995969453779748,0.004809429410392125
Random Forest,1.0,0.0,0.9957073170731707,0.004395660615051238,0.004292682926829272,0.004395660615051247,0.9957724648955493,0.004308869907572944
Gradient Boosting,1.0,0.0,0.9943414634146341,0.002877635356829788,0.005658536585365859,0.0028776353568297835,0.9943826755598779,0.0028666176191762356
Decision Tree,1.0,0.0,0.9939512195121951,0.0036110742484530196,0.006048780487804883,0.003611074248453027,0.9939995609775488,0.003578008210782065
Stacking (LR+Tree+SVM),0.9989268292682928,0.0008894918306736443,0.992780487804878,0.00393885448549978,0.006146341463414662,0.003664223222770962,0.9928656740983047,0.0038927069993992306
SVM (RBF),0.9975121951219512,0.0006313258100265584,0.9838048780487805,0.002975209889166218,0.013707317073170744,0.0032052529758047855,0.9842340214850015,0.002847198370982973
KNN,0.9948292682926828,0.0007194088392073895,0.9498536585365853,0.00949905283483949,0.04497560975609756,0.009094323624611905,0.9510104868985643,0.00929026695953385
AdaBoost,0.9677073170731706,0.003481915546291308,0.9373658536585365,0.0061082832556091865,0.030341463414634173,0.004482764932451761,0.9386588824641973,0.005693466605280734
Logistic Regression,0.8543414634146341,0.002310002047327185,0.8446829268292684,0.0023292363680611486,0.009658536585365774,0.00426166733184947,0.8554287732066328,0.0022191454580532256
