Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test),Seed
Logistic Regression,0.8514634146341462,0.8448780487804879,0.00658536585365832,0.8552035987264484,789
Decision Tree,1.0,0.9912195121951219,0.008780487804878057,0.9913859971422738,789
KNN,0.9951219512195122,0.9404878048780487,0.05463414634146346,0.9414865412557573,789
SVM (RBF),0.9980487804878049,0.9834146341463414,0.014634146341463428,0.9839932677827974,789
Bagging (Trees),1.0,0.9882926829268293,0.011707317073170742,0.9885151837451447,789
Random Forest,1.0,0.9882926829268293,0.011707317073170742,0.9885151837451447,789
Extra Trees,1.0,0.9912195121951219,0.008780487804878057,0.9914137344697824,789
AdaBoost,0.9702439024390243,0.9356097560975609,0.034634146341463334,0.9368785273585788,789
Gradient Boosting,1.0,0.9912195121951219,0.008780487804878057,0.9913320851535954,789
XGBoost,1.0,0.9912195121951219,0.008780487804878057,0.9914137344697824,789
LightGBM,1.0,0.9912195121951219,0.008780487804878057,0.9914137344697824,789
CatBoost,1.0,0.9912195121951219,0.008780487804878057,0.9914137344697824,789
Stacking (LR+Tree+SVM),1.0,0.9912195121951219,0.008780487804878057,0.9913859971422738,789
