Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test)
Random Forest,1.0,0.7597402597402597,0.24025974025974028,0.6407766990291263
SVM (RBF),0.8355048859934854,0.7532467532467533,0.0822581327467321,0.6346153846153846
Bagging (Trees),1.0,0.7467532467532467,0.2532467532467533,0.6138613861386139
AdaBoost,0.8403908794788274,0.7467532467532467,0.09363763272558068,0.6355140186915887
Gradient Boosting,0.9495114006514658,0.7467532467532467,0.20275815389821905,0.6213592233009708
CatBoost,0.9413680781758957,0.7402597402597403,0.20110833791615546,0.6153846153846154
XGBoost,0.988599348534202,0.7337662337662337,0.2548331147679682,0.616822429906542
LightGBM,1.0,0.7337662337662337,0.26623376623376627,0.6095238095238096
Decision Tree,1.0,0.7272727272727273,0.2727272727272727,0.5625
Extra Trees,1.0,0.7272727272727273,0.2727272727272727,0.5961538461538461
Logistic Regression,0.7915309446254072,0.7142857142857143,0.07724523033969288,0.56
Stacking (LR+Tree+SVM),0.7915309446254072,0.7142857142857143,0.07724523033969288,0.5686274509803921
KNN,0.8061889250814332,0.7012987012987013,0.10489022378273194,0.5490196078431373
