Model,Train Accuracy mean,Train Accuracy std,Test Accuracy mean,Test Accuracy std,Generalization Gap mean,Generalization Gap std,F1 Score (Test) mean,F1 Score (Test) std
Logistic Regression,0.7794932337596991,0.0016540592873029514,0.7747491723962312,0.002772125789281082,0.004744061363467988,0.0030837234440986763,0.6372664042312939,0.0065560517354055
CatBoost,0.9220048197876116,0.0651821167888408,0.7695170189287837,0.006387907926907074,0.15248780085882796,0.06203551072789757,0.6472353811029895,0.016997603369499067
Extra Trees,0.9815750642196976,0.025242192696728557,0.7674526780409133,0.004197411231475158,0.2141223861787842,0.025783880783713374,0.6319177000709143,0.015026297142885878
XGBoost,0.9372403273218399,0.035785148083321235,0.766916221033868,0.007230577825080221,0.17032410628797187,0.04002097461054116,0.6540959286980572,0.009827434899228339
Random Forest,0.9992187706893356,0.0011646372490308103,0.766128512010865,0.005336238943964357,0.2330902586784706,0.005965401496414316,0.6424797895427036,0.009429446505095642
Stacking (LR+Tree+SVM),0.8005854717830566,0.003181938999034089,0.7658993294287412,0.00606031657366987,0.03468614235431542,0.004847913661409212,0.622737451809936,0.011153542970048516
Gradient Boosting,0.9466141256852307,0.03235588259215528,0.763795942619472,0.004826447062589236,0.18281818306575875,0.033835730908959576,0.6470408935806298,0.007840005416212293
AdaBoost,0.8388009851434018,0.001982867698027443,0.7624904507257448,0.005682078826743123,0.07631053441765709,0.006334102317938927,0.6333547655688463,0.011454635136819397
Bagging (Trees),1.0,0.0,0.7609354044648162,0.009458416567463039,0.23906459553518372,0.009458416567463018,0.6382271219642399,0.01220659382447161
SVM (RBF),0.8269522523238262,0.0009352897317596234,0.7598828622358034,0.00610466561602633,0.06706939008802273,0.006249364918958424,0.6144511509849202,0.01170606287291669
LightGBM,0.991602235110299,0.004813633514932757,0.7546812664459723,0.00790297206868768,0.23692096866432663,0.010684788932378704,0.6356992653268421,0.012775231831041504
Decision Tree,0.837694552580705,0.011493176323569752,0.7466157372039726,0.0059199077566695684,0.09107881537673253,0.015642234560721033,0.6243175694752827,0.00930207369519999
KNN,0.8354165408755065,0.03004789101141771,0.7333146591970122,0.009823523045084753,0.10210188167849436,0.037960466650050505,0.5853231815192066,0.01660527819255521
