Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test),Seed
Logistic Regression,0.7779947564947962,0.7746965452847806,0.0032982112100156113,0.6388327572528987,42
Decision Tree,0.841144037499007,0.7525082760376879,0.08863576146131913,0.6303974390731337,42
KNN,0.7864585153994863,0.7434598081656906,0.04299870723379573,0.5937626215883036,42
SVM (RBF),0.8284457509070204,0.7616840675664205,0.06676168334059995,0.6226215878928726,42
Bagging (Trees),1.0,0.756480774127833,0.243519225872167,0.6326142418163385,42
Random Forest,1.0,0.7655631949749597,0.23443680502504027,0.640253120665742,42
Extra Trees,1.0,0.7629827688651218,0.23701723113487816,0.6375092895584282,42
AdaBoost,0.8382135007017822,0.7707325354384178,0.06748096526336445,0.6505064559164387,42
Gradient Boosting,0.9241540213447736,0.7707749766573296,0.153379044687444,0.6580419284646911,42
XGBoost,0.9114573236937581,0.7785756726933197,0.13288165100043836,0.6694271741330565,42
LightGBM,1.0,0.749953314659197,0.250046685340803,0.6269796496338552,42
CatBoost,0.9401027515161144,0.7786435786435786,0.16145917287253586,0.6640754716981132,42
Stacking (LR+Tree+SVM),0.7998040306135961,0.7734148204736441,0.02638921013995199,0.6352484826267866,42
