Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test)
Extra Trees,1.0,0.9887301587301588,0.011269841269841208,0.9892204585537918
SVM (RBF),1.0,0.9833333333333332,0.01666666666666683,0.9833573188343172
Logistic Regression,0.9957943464985718,0.9831746031746033,0.012619743323968535,0.9834128360492546
CatBoost,1.0,0.9831746031746033,0.016825396825396743,0.9835767195767197
Random Forest,1.0,0.9830158730158731,0.01698412698412688,0.9840388007054675
XGBoost,1.0,0.9719047619047618,0.028095238095238173,0.9725874392238578
KNN,0.9761252831675368,0.9717460317460318,0.0043792514215049705,0.9721091923245584
LightGBM,1.0,0.9717460317460318,0.028253968253968198,0.9731203181478044
Stacking (LR+Tree+SVM),1.0,0.9607936507936508,0.039206349206349245,0.9618598267004064
Bagging (Trees),1.0,0.9606349206349206,0.03936507936507938,0.9621213759591939
Gradient Boosting,1.0,0.9606349206349206,0.03936507936507938,0.9626587796862658
AdaBoost,1.0,0.9433333333333334,0.05666666666666664,0.9454613474065985
Decision Tree,0.9592534226337042,0.8992063492063492,0.060047073427354936,0.9015755731215369
