Model,Train Accuracy mean,Train Accuracy std,Test Accuracy mean,Test Accuracy std,Generalization Gap mean,Generalization Gap std,F1 Score (Test) mean,F1 Score (Test) std
Extra Trees,1.0,0.0,0.990984126984127,0.0031594878249008172,0.009015873015872967,0.0031594878249008138,0.9913864808614907,0.0031782755738361027
Logistic Regression,0.9960681571949177,0.002308032993692864,0.9875873015873017,0.004734577673833095,0.008480855607616133,0.00330451908042587,0.9877484120586519,0.004664106209617716
SVM (RBF),0.9955028070521028,0.007723496776332428,0.9809206349206349,0.0031634725506928234,0.014582172131467952,0.006118560708847903,0.9807822259758019,0.003329192399483461
Random Forest,1.0,0.0,0.9796825396825397,0.002971689718547489,0.02031746031746027,0.002971689718547477,0.9801891733995051,0.0030024144339123944
CatBoost,0.9997202797202798,0.0006254735601397952,0.9774920634920635,0.0068054340773091426,0.022228216228216226,0.006238023914896968,0.97798543883655,0.006482351691135751
LightGBM,1.0,0.0,0.9752698412698413,0.016052712990527865,0.024730158730158713,0.016052712990527854,0.9758885710348346,0.01531479559843404
XGBoost,1.0,0.0,0.9751746031746032,0.004934185132077222,0.024825396825396816,0.004934185132077216,0.9757770577439585,0.004593160321030987
KNN,0.9724711907810499,0.005405259083971178,0.9685396825396826,0.003074615876267496,0.003931508241367477,0.005809485853757409,0.9697221597939661,0.0028468409787213195
Gradient Boosting,1.0,0.0,0.9675238095238095,0.014990800908122548,0.032476190476190506,0.014990800908122581,0.9686158491984639,0.014578269460096435
Stacking (LR+Tree+SVM),0.9997183098591549,0.0006298783035210615,0.9662539682539683,0.003930935636214888,0.0334643416051867,0.003975460845303583,0.9665783582852576,0.003530510348015349
Bagging (Trees),1.0,0.0,0.9651428571428571,0.013903892123263798,0.03485714285714288,0.013903892123263834,0.9659645301453239,0.013377174027041073
AdaBoost,1.0,0.0,0.9505396825396826,0.013360987949705997,0.04946031746031743,0.013360987949706004,0.9518943310012643,0.012918053315589387
Decision Tree,0.9915689943858957,0.018075245656203928,0.9001269841269842,0.010918627537912678,0.09144201025891163,0.020552136402613077,0.9016139909843973,0.010400404704726104
