Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test),Seed
Logistic Regression,0.9943760464887227,0.9887301587301588,0.0056458877585638945,0.989056575026327,123
Decision Tree,1.0,0.9047619047619048,0.09523809523809523,0.9071929738871269,123
KNN,0.9789224859647396,0.9663492063492063,0.01257327961553334,0.9675354768688103,123
SVM (RBF),0.9817295380675661,0.9773015873015873,0.004427950765978794,0.9771431243442606,123
Bagging (Trees),1.0,0.943968253968254,0.05603174603174599,0.9455161646440743,123
Random Forest,1.0,0.9774603174603176,0.022539682539682415,0.9780255012266375,123
Extra Trees,1.0,0.9944444444444445,0.005555555555555536,0.9948641975308643,123
AdaBoost,1.0,0.9609523809523809,0.03904761904761911,0.9615768961830667,123
Gradient Boosting,1.0,0.9609523809523809,0.03904761904761911,0.9620045103329812,123
XGBoost,1.0,0.9717460317460318,0.028253968253968198,0.9727178520209373,123
LightGBM,1.0,0.9776190476190475,0.0223809523809525,0.9780255012266375,123
CatBoost,1.0,0.9774603174603176,0.022539682539682415,0.9780255012266375,123
Stacking (LR+Tree+SVM),1.0,0.9663492063492063,0.03365079365079371,0.9672058657388097,123
