Model,Train Accuracy,Test Accuracy,Generalization Gap,F1 Score (Test)
Bagging (Trees),1.0,1.0,0.0,1.0
Random Forest,1.0,1.0,0.0,1.0
Extra Trees,1.0,1.0,0.0,1.0
XGBoost,1.0,1.0,0.0,1.0
LightGBM,1.0,1.0,0.0,1.0
CatBoost,1.0,1.0,0.0,1.0
Logistic Regression,1.0,0.9722222222222222,0.02777777777777779,0.9719701552732407
KNN,0.9788732394366197,0.9722222222222222,0.006651017214397537,0.9723691945914168
SVM (RBF),0.9929577464788732,0.9722222222222222,0.02073552425665104,0.9719701552732407
AdaBoost,1.0,0.9722222222222222,0.02777777777777779,0.9719701552732407
Decision Tree,1.0,0.9444444444444444,0.05555555555555558,0.9449614374099499
Gradient Boosting,1.0,0.9444444444444444,0.05555555555555558,0.944269005847953
Stacking (LR+Tree+SVM),1.0,0.9444444444444444,0.05555555555555558,0.9432098765432099
